"K2"	"K4"	"K10"	"K3"	"K5"	"K23"	"K7"	"K24"	"K19"	"K8"	"K9"	"K28"	"K12"	"K6"	"K30"	"K21"	"K11"	"K14"	"K17"	"K27"	"K16"	"K1"	"K20"	"K25"	"K26"	"K22"	"K13"	"K18"	"K29"	"K15"
"NMCA"	4	2	0	2	34	8	40	2	4	8	0	12	0	12	10	38	8	2	0	10	14	0	0	14	22	2	20	0	0	0
"NMPC"	10	6	5975	0	44	28	53	7	6	0	6	61	2	72	16	22	12	15	6	6	29	0	0	20	12	6	53	8	2	16
"NMTR"	12	2	500	0	26	16	20	0	0	0	0	18	0	20	2	0	28	6	2	6	6	0	0	8	8	0	20	2	0	18
"NORA"	26	8	2460	0	60	22	78	8	5	0	0	40	0	180	68	62	12	0	6	8	54	0	6	10	24	8	24	8	6	0
"NORB"	14	6	2922	0	34	44	14	0	2	4	2	8	0	32	14	58	2	8	0	8	24	0	0	6	10	0	14	0	2	4
"NORBD"	12	4	4593	2	32	6	54	2	0	0	1	11	0	42	8	26	2	14	4	12	22	0	0	10	6	0	22	4	2	2
"NORM"	90	46	594	20	422	836	182	56	118	14	0	524	62	1832	68	168	76	156	34	114	336	2	14	112	74	46	672	32	46	1044
"NORMD"	46	26	508	2	204	102	110	40	18	2	0	96	0	140	34	128	44	14	20	54	106	2	14	70	60	50	196	4	18	100
"NOVA"	232	124	1520	29	1021	1485	534	86	155	44	2	831	54	3515	236	403	247	341	84	269	698	33	18	280	223	201	1581	66	84	1834
"NPMA"	20	2	16	0	26	8	46	0	0	0	0	0	0	22	14	28	8	0	0	4	20	0	0	0	6	2	2	0	2	2
"NPS"	8	0	0	0	10	8	18	2	0	0	0	8	0	2	0	10	6	2	0	2	10	0	0	4	4	16	14	0	10	0
"NREB"	16	10	0	0	20	12	14	0	6	0	0	12	0	10	2	22	12	2	0	0	26	0	0	2	6	4	8	0	0	0
"NRSA"	56	16	2	4	96	92	118	8	26	4	0	28	0	66	46	36	34	36	6	36	52	8	8	28	52	16	266	2	22	44
"NRSD"	2	16	0	0	28	6	58	10	10	0	0	6	0	98	14	18	2	10	6	2	6	0	0	16	24	0	8	0	8	6
"NRSR"	34	0	0	0	16	16	10	12	4	4	0	6	0	30	12	14	0	6	0	8	24	0	0	18	18	12	22	6	6	8
"NRSS"	38	22	0	0	110	100	50	4	24	0	0	30	2	310	50	42	46	10	18	42	58	0	4	26	24	26	84	10	22	16
"NSHR"	52	28	248	8	232	458	150	36	58	4	6	216	26	1088	42	108	64	72	20	98	206	2	6	86	94	48	178	24	24	425
"O23S|RequiresSNPConfirmation"	27476	7962	240975	2468	98160	91483	74436	8009	9772	1976	160	25788	1129	189899	36719	59938	25166	13419	6420	15324	41942	1805	3069	17170	24676	19230	58896	4480	6592	19817
"OCH"	36	14	168	2	206	110	182	12	36	0	0	126	6	64	32	68	26	34	12	58	102	0	4	24	42	36	192	2	10	66
"OHIO"	6	20	0	4	48	144	24	0	2	0	0	30	0	172	4	18	20	4	0	6	40	0	0	8	8	10	22	0	12	40
"OKP"	54	36	382	6	240	252	160	46	12	10	4	178	0	916	94	158	56	88	16	82	190	0	8	70	106	58	250	16	30	266
"OLEB"	253	135	5781	74	1041	1515	496	102	208	40	18	934	56	3551	212	543	264	296	83	224	650	17	41	295	202	78	1048	72	158	1306
"OLEC"	352	252	3538	70	1412	2031	719	203	244	38	22	1169	36	3774	268	485	317	409	86	344	799	36	30	310	402	208	1546	104	143	2515
"OLED"	44	22	318	8	240	280	154	18	16	0	0	150	6	516	50	128	40	70	12	40	114	2	8	36	88	14	404	18	38	316
"OLEI"	52	58	2182	4	284	422	134	26	30	6	10	224	4	1994	48	112	58	70	36	92	166	0	6	50	52	28	256	24	28	292
"OMP36|RequiresSNPConfirmation"	41	10	6515	2	188	55	108	16	22	1	0	75	8	57	20	82	10	25	0	34	46	0	4	49	30	24	205	20	24	56
"OMP37"	32	16	2143	2	120	94	80	8	13	8	0	68	14	366	44	72	32	39	8	36	74	0	4	25	39	30	79	8	24	94
"OMP38"	38	14	306	6	213	150	92	24	40	0	0	132	4	1030	14	74	34	54	4	38	84	12	8	14	38	8	124	10	14	186
"OMPD"	16	0	2	0	40	18	62	0	4	4	0	12	0	14	10	36	8	0	4	0	32	0	2	2	2	46	30	0	2	6
"OMPF|RequiresSNPConfirmation"	128	40	6692	6	389	274	300	42	62	6	0	102	4	172	73	246	56	72	26	96	220	0	10	115	54	84	315	22	42	85
"OMPFB|RequiresSNPConfirmation"	26	8	5684	4	69	9	113	16	17	0	4	55	0	15	26	80	10	8	2	10	52	4	0	51	8	2	106	5	8	6
"OMPR"	58	48	1566	8	201	585	118	29	36	10	0	348	40	875	37	78	76	70	34	83	179	4	6	42	50	56	185	8	34	414
"OPCM"	84	36	938	18	292	546	154	18	38	18	2	228	24	1552	78	114	76	54	18	58	162	8	10	96	100	34	468	46	42	416
"OPMB"	119	98	13349	11	404	697	275	38	72	18	8	431	52	1459	106	244	71	90	96	100	244	10	19	121	95	80	627	58	76	882
"OPMD"	68	58	15866	18	366	642	158	28	79	4	0	390	12	2721	101	172	94	154	34	114	216	4	14	75	82	26	926	20	42	643
"OPMH"	98	73	16937	18	409	607	204	99	50	26	8	517	24	2016	82	120	90	110	27	84	318	10	4	122	106	56	322	33	30	555
"OPRA"	74	62	3756	30	410	621	208	38	82	6	4	388	26	1092	64	206	58	124	18	106	202	6	16	131	84	38	322	26	48	614
"OPRD|RequiresSNPConfirmation"	76	18	4507	6	132	161	192	36	42	6	2	96	6	159	54	160	44	68	24	14	130	0	9	53	22	28	224	12	28	78
"OPRJ"	86	62	15080	32	356	525	196	46	64	18	2	302	4	1086	42	138	48	96	20	64	202	10	28	143	83	64	586	32	24	313
"OPRM"	92	47	8722	12	292	390	146	34	31	4	2	270	22	614	74	128	108	74	38	72	132	4	2	79	74	68	159	34	24	479
"OPRN"	71	64	16214	14	322	640	190	49	52	4	18	390	28	1265	110	200	78	140	22	198	352	10	14	174	126	46	308	42	78	498
"OPRZ"	94	98	2783	46	388	714	254	54	62	20	6	504	2	1070	92	148	72	78	22	164	250	12	14	90	152	58	256	40	70	460
"OPTRA"	39	22	6	3	192	141	87	16	8	2	0	41	2	116	89	128	44	28	12	28	50	0	0	16	28	21	119	10	6	10
"OQXA"	34	26	670	4	224	304	148	46	48	0	0	280	28	884	32	120	42	62	16	112	160	8	0	90	70	29	118	16	16	476
"OQXB"	214	123	1472	22	840	1169	654	133	98	18	8	657	50	2181	255	570	202	164	80	173	551	18	44	273	318	131	1070	66	86	1091
"ORN"	24	8	8	4	76	38	62	12	4	0	0	22	0	50	16	40	14	26	4	16	56	2	4	22	26	10	76	2	16	24
"ORR"	2	0	0	0	10	22	14	2	0	0	0	0	0	6	2	8	6	0	2	0	4	0	0	10	6	16	24	0	0	2
"OSCA"	4	0	404	0	18	12	0	0	0	0	0	6	0	30	16	0	2	6	0	2	4	0	0	2	6	0	2	0	0	30
"OTRA"	320	142	5662	66	1553	1996	930	176	288	44	4	1297	100	6840	369	684	354	394	116	404	980	22	46	438	431	164	1175	160	168	1770
"OTRB"	124	108	3408	10	516	796	268	58	76	18	4	560	52	1851	116	216	126	150	36	130	256	2	14	166	140	78	638	38	40	704
"OTRC"	86	72	472	24	438	508	266	26	42	2	8	294	10	1603	60	294	84	144	30	118	222	16	12	88	100	44	820	41	50	494
"OXA"	1824	845	16833	272	6451	6845	4683	768	986	229	20	4676	234	14828	2458	4456	1255	1512	470	1324	3864	115	252	1661	1969	953	6651	569	634	5040
"OXY"	64	74	198	4	378	496	270	40	54	18	2	224	4	562	136	268	88	116	22	118	226	6	18	118	108	88	406	24	52	402
"OXYRKP"	20	14	5621	0	107	81	86	32	29	4	0	95	2	192	57	56	18	20	8	14	64	4	2	74	40	12	178	10	14	74
"P16S|RequiresSNPConfirmation"	3134	93	9	57	7322	942	699	82	466	47	6	233	27	549	1213	1868	1517	256	656	315	1129	87	77	328	929	541	1616	157	260	469
"P23S|RequiresSNPConfirmation"	1357	372	862	113	4128	1818	3118	311	403	61	12	672	8	1436	1524	3013	952	676	261	501	1978	50	225	594	1092	591	2705	207	300	469
"PAC"	22	10	36	2	128	112	132	4	18	4	0	116	0	310	36	64	28	26	8	32	72	0	6	40	24	20	124	10	2	330
"PARC|RequiresSNPConfirmation"	2076	829	57611	215	6097	9823	4587	756	1022	199	51	4660	315	14342	3547	4119	1261	1245	455	1435	3731	137	282	1588	1754	959	6057	482	651	4357
"PARE|RequiresSNPConfirmation"	2227	1144	43094	287	7429	9806	5980	963	1210	237	50	4745	205	19191	3382	4845	1678	1702	581	1941	4596	162	321	1932	2582	1424	9192	516	837	5363
"PAREF|RequiresSNPConfirmation"	101	29	7239	8	145	285	230	33	29	6	2	130	4	244	205	221	47	36	8	32	101	4	12	50	75	19	267	12	22	56
"PARY"	522	382	1317	116	2626	4046	1759	290	483	97	26	2327	148	10022	580	1584	657	862	149	638	1737	55	107	711	848	383	4875	205	380	4810
"PATA"	34	18	0	2	166	50	72	16	14	2	0	14	4	186	60	54	20	14	10	16	64	0	6	38	38	12	82	18	8	18
"PATB"	44	10	80	0	104	52	66	16	4	0	0	22	2	48	42	52	38	14	4	12	52	10	4	22	29	16	62	0	12	12
"PBP1A|RequiresSNPConfirmation"	24	2	68	8	34	38	63	0	0	4	0	18	0	37	8	62	10	0	2	4	22	2	4	4	8	6	32	22	2	8
"PBP2"	57	42	16867	12	221	103	162	43	28	6	2	167	6	211	55	189	30	34	20	32	94	0	12	88	93	48	228	22	26	93
"PBP2|RequiresSNPConfirmation"	54	32	6	2	218	102	152	30	30	12	0	64	0	142	72	112	26	70	24	44	146	2	10	64	32	40	152	18	18	88
"PBP2B|RequiresSNPConfirmation"	20	8	0	0	74	14	76	0	6	0	0	6	2	18	18	62	30	6	12	12	54	0	8	8	14	18	30	10	0	10
"PBP2X|RequiresSNPConfirmation"	24	18	2	0	72	14	64	0	20	12	0	10	0	48	40	62	12	0	6	20	78	0	6	2	12	10	54	3	4	18
"PBP3|RequiresSNPConfirmation"	14	8	174	0	62	6	44	0	2	0	0	32	0	34	10	28	6	10	0	8	18	2	2	14	10	2	42	0	12	6
"PBP4B"	32	18	8454	10	62	49	66	24	5	1	0	150	7	36	18	105	18	14	6	26	67	0	12	54	46	24	146	10	9	24
"PBRA"	110	60	1790	24	385	490	236	26	78	8	2	226	0	856	81	300	92	98	22	92	238	12	14	76	148	48	625	26	48	296
"PBRB"	20	28	2	6	50	108	48	0	6	0	0	60	0	232	12	42	2	12	4	16	36	2	2	22	6	4	42	6	14	40
"PBRD"	2	4	0	0	38	138	20	2	8	2	0	16	0	102	10	26	2	2	2	6	22	0	0	12	20	2	26	0	12	18
"PBRR"	40	10	1	0	84	52	76	10	8	0	0	32	6	66	28	178	6	26	6	58	50	0	0	38	22	24	114	4	18	64
"PBRT"	30	30	692	8	224	144	136	20	34	4	4	162	4	348	46	98	22	86	14	60	100	10	4	60	54	28	160	16	26	142
"PCM"	72	28	514	14	222	278	128	16	66	4	0	118	8	670	80	124	60	96	26	66	220	4	0	64	84	36	126	4	28	310
"PCOA"	24	20	0	12	74	204	66	8	28	2	0	62	2	122	186	52	36	24	10	18	76	0	4	44	22	20	223	14	14	18
"PCOB"	28	18	46	0	106	50	44	6	10	6	0	66	2	198	22	70	20	16	16	16	60	0	0	30	18	12	91	6	14	22
"PCOC"	12	2	4	0	88	54	20	4	6	2	0	32	0	30	20	28	14	8	4	10	32	0	0	36	22	6	49	6	8	22
"PCOD"	14	12	2	10	58	30	58	0	8	2	0	14	0	32	26	46	20	12	8	6	30	0	0	14	14	12	48	4	12	40
"PCOE"	6	2	208	2	6	8	32	0	4	6	0	4	0	10	2	22	2	10	0	6	0	0	2	23	4	0	28	0	10	2
"PCOR"	16	6	36	6	78	40	68	6	12	2	0	14	4	50	12	106	18	10	16	8	54	0	4	39	24	4	116	0	10	2
"PCOS"	24	8	0	0	58	12	40	14	8	0	0	12	0	8	12	40	10	26	4	14	20	0	2	17	20	14	130	2	2	16
"PDC"	264	116	13077	38	1094	1638	685	161	246	58	12	935	82	3215	348	562	234	278	78	289	752	18	42	323	288	154	1278	96	106	1509
"PDRM"	26	10	2	0	42	20	42	10	6	0	0	30	0	10	32	66	10	24	4	8	22	0	2	28	4	30	34	6	0	10
"PEDO"	12	0	8	0	64	34	82	4	12	2	0	20	0	38	22	34	10	6	18	12	40	0	0	10	14	12	32	4	4	8
"PENA"	80	58	2	12	306	472	276	44	56	6	0	278	12	970	62	126	58	76	28	115	182	8	20	88	132	52	284	22	24	434
"PENI"	146	158	1868	38	720	1125	402	42	150	24	2	650	40	2708	106	334	144	218	34	190	402	12	38	194	308	150	714	44	100	1400
"PER"	42	16	0	4	90	44	142	12	28	0	0	44	0	130	36	76	8	14	8	14	110	0	4	22	50	20	110	4	6	66
"PERO"	164	118	2266	26	568	890	398	86	84	16	4	619	24	2186	174	308	124	158	80	124	416	26	26	238	190	128	514	56	84	687
"PERR"	6	6	1528	0	18	29	11	0	0	0	0	26	10	205	11	4	1	0	2	6	6	0	0	1	14	0	2	0	0	14
"PEXA"	6	0	0	0	24	8	26	4	0	0	0	4	0	6	10	8	4	4	2	6	22	0	4	8	10	10	226	2	10	10
"PFR"	22	0	0	0	8	6	16	0	0	0	0	6	0	10	4	2	8	6	2	2	20	0	0	8	6	0	0	0	4	4
"PGBB"	2	0	0	0	20	12	30	4	0	2	0	22	0	30	14	6	0	8	2	6	28	0	0	4	4	14	26	0	0	0
"PGPA"	146	64	536	18	344	302	290	28	54	6	2	266	4	630	88	196	76	54	32	136	196	6	14	66	96	70	212	28	42	238
"PGSA|RequiresSNPConfirmation"	23	0	4243	2	88	40	68	8	0	0	0	35	0	42	24	48	20	14	0	12	78	0	1	7	23	2	72	2	0	6
"PH23S|RequiresSNPConfirmation"	122	16	4	0	276	132	215	10	29	8	0	47	3	206	76	408	110	36	22	55	164	20	14	39	32	50	229	20	29	99
"PHOB|RequiresSNPConfirmation"	18	6	2042	0	116	175	91	20	36	8	2	94	0	294	14	88	30	26	18	30	70	0	2	68	46	36	126	12	12	72
"PHOP|RequiresSNPConfirmation"	60	69	7663	8	329	487	122	30	12	4	8	267	0	619	50	67	32	50	14	54	139	6	4	77	79	27	406	14	18	334
"PHOQ|RequiresSNPConfirmation"	206	140	13362	14	837	945	418	87	166	38	2	531	53	3447	192	399	148	201	80	154	490	10	32	230	206	80	872	70	124	750
"PHOR"	46	28	3493	8	263	134	187	44	26	6	2	82	4	222	32	216	34	30	8	67	124	6	2	17	88	18	220	18	24	112
"PITA"	27	16	9088	6	98	56	114	30	38	8	1	149	6	164	24	136	30	24	10	35	103	6	15	82	31	10	205	4	12	20
"PLA"	14	10	0	0	66	34	84	4	6	6	0	22	0	22	12	46	30	14	2	14	74	2	6	14	12	14	46	18	6	26
"PLN"	2	0	0	0	38	14	6	4	12	0	0	16	0	4	8	16	2	4	0	0	16	0	4	2	8	2	14	0	0	4
"PME"	84	41	10	2	158	367	104	14	36	10	4	206	26	840	48	76	42	118	8	60	122	0	6	82	98	44	422	8	16	342
"PMPM"	126	56	16164	19	404	684	233	100	72	24	14	298	14	1493	68	188	112	130	22	162	352	8	15	110	138	84	622	4	78	526
"PMRA"	14	2	0	0	36	4	50	2	2	0	0	0	0	54	12	26	0	8	0	10	26	0	0	2	2	10	8	0	6	2
"PMRAM"	4	0	40	2	52	42	20	6	0	0	0	14	0	16	8	34	16	18	6	8	8	0	2	10	22	0	14	6	4	8
"PMRBM"	14	4	286	6	98	32	100	10	0	2	0	12	0	68	32	16	16	14	8	28	28	0	0	20	50	14	48	10	2	22
"PMRCM"	18	4	444	0	80	38	68	10	6	0	0	26	2	54	24	36	8	20	4	18	56	0	10	12	34	8	62	4	12	24
"PMRF"	24	8	6845	2	63	58	42	21	10	0	2	65	0	87	38	75	10	23	2	10	22	12	12	26	20	8	99	0	9	30
"PMRG"	14	2	2756	0	42	46	38	8	8	2	0	6	2	18	8	20	4	16	6	6	37	0	0	12	28	12	18	8	4	14
"PNCA|RequiresSNPConfirmation"	32	22	292	14	247	197	72	22	18	12	4	100	12	552	48	41	56	84	12	24	154	8	0	25	42	26	120	18	24	463
"PNGM"	12	18	0	0	28	18	10	0	4	0	0	10	0	44	10	30	2	8	8	6	12	0	2	6	14	14	54	4	2	16
"POM"	60	54	2046	18	414	348	238	30	52	20	0	219	12	1580	88	304	74	108	34	110	222	2	18	84	156	50	296	14	42	344
"POR|RequiresSNPConfirmation"	24	2	0	8	108	32	42	2	14	4	0	20	0	20	12	58	10	18	8	6	50	0	12	20	12	6	64	4	4	6
"POXT"	98	60	74	10	542	278	428	28	36	0	0	154	12	248	130	411	88	60	30	112	246	0	8	100	115	60	354	20	21	94
"PSE"	8	0	0	0	22	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	4	0	0	2	2	2	6	0	0	0
"PST"	26	26	48	0	182	110	66	10	6	22	0	66	8	126	20	88	18	10	8	20	78	6	0	30	34	20	48	6	14	44
"PSTA"	23	10	6910	8	112	101	138	28	12	4	2	79	1	43	20	110	4	6	4	16	70	8	7	47	30	25	115	20	25	35
"PSTB"	124	58	10386	16	549	987	400	102	41	23	4	400	35	1817	126	375	126	102	34	126	338	17	17	140	190	60	543	30	36	624
"PSTC"	46	24	6402	8	106	109	85	38	16	4	0	144	0	108	28	83	38	28	14	33	78	4	2	70	42	30	155	8	18	44
"PSTS"	42	16	6866	0	118	24	117	23	30	2	0	89	0	105	50	127	18	12	4	32	52	1	10	49	42	16	107	10	8	28
"PSV"	10	10	12	0	28	32	26	0	4	2	0	30	0	18	2	26	10	8	0	8	20	0	2	18	10	4	18	4	2	62
"PTSL|RequiresSNPConfirmation"	80	19	19510	13	180	122	140	48	60	14	10	124	9	969	44	164	78	40	24	60	88	12	8	102	77	33	277	11	30	169
"QACAB"	16	14	12	0	16	48	48	4	6	6	0	16	0	32	12	30	16	0	2	0	14	0	0	8	2	2	46	0	0	2
"QACC"	8	2	4	0	0	0	14	0	0	0	0	4	0	8	2	10	2	2	0	2	0	0	0	0	0	0	2	0	0	0
"QACE"	0	0	0	0	3	21	4	0	0	0	0	2	2	93	1	0	0	0	0	2	0	0	0	3	0	0	2	0	1	12
"QACEDELTA1"	0	9	0	0	16	208	13	0	0	0	0	25	26	910	7	0	4	10	0	17	10	2	0	14	2	2	0	2	5	93
"QACF"	10	0	0	0	10	0	18	0	0	0	0	2	0	15	2	16	10	10	0	0	14	0	2	4	22	0	4	0	2	2
"QACG"	13	25	156607	8	86	15	39	10	6	8	2	45	6	60	18	49	14	26	11	25	45	7	14	23	23	17	56	10	10	26
"QACH"	0	0	0	0	10	6	4	0	0	0	0	0	0	2	2	8	2	0	2	0	8	0	0	2	0	2	0	0	0	0
"QACJ"	0	0	0	0	4	4	2	0	0	0	0	2	0	0	6	6	0	0	0	0	14	0	0	0	0	0	2	2	0	0
"QACK"	0	0	0	0	6	2	2	0	0	0	0	2	0	8	0	0	0	0	2	0	4	0	0	0	0	2	8	0	0	0
"QACL"	2	0	2	0	14	14	4	0	0	0	0	4	2	18	6	10	8	0	0	2	6	0	0	6	8	10	14	0	0	4
"QACPB"	6	0	0	4	30	8	10	2	10	0	0	10	0	32	18	18	10	8	0	4	4	0	10	2	0	2	2	0	0	6
"QACR"	0	0	0	0	2	0	2	0	0	0	0	2	0	20	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
"QACZ"	0	4	0	0	2	4	2	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"QEPA"	136	134	3704	10	756	1093	460	80	119	46	4	690	55	2132	156	348	218	193	52	256	544	18	14	270	276	148	900	50	82	968
"QNRA"	42	34	268	6	126	72	168	16	18	0	0	38	0	44	62	112	28	24	22	42	118	0	8	38	50	28	382	12	14	54
"QNRB"	72	48	110	20	176	146	192	26	10	0	0	140	2	246	76	348	78	78	42	54	130	8	6	58	112	40	238	14	12	92
"QNRC"	6	6	62	0	10	14	30	0	12	4	0	2	0	0	4	16	0	8	0	4	4	0	0	8	0	0	0	0	0	0
"QNRD"	8	2	0	2	8	6	16	4	4	0	0	0	0	64	6	8	4	0	0	0	6	2	0	0	0	2	20	2	0	6
"QNRE"	12	4	0	0	26	18	28	0	0	0	0	16	0	6	18	20	20	6	6	2	26	0	0	4	34	22	18	0	0	6
"QNRS"	16	2	0	0	62	30	58	0	6	0	0	18	0	42	12	32	8	6	2	4	20	0	4	22	11	4	34	0	0	14
"QNRVC"	16	6	0	0	24	14	88	0	2	0	2	20	0	2	36	16	6	2	0	4	52	0	4	8	12	0	16	4	2	6
"R39"	46	28	22	10	220	275	136	50	48	10	0	196	2	593	56	118	94	48	22	40	172	10	8	66	58	28	296	20	32	204
"RAHN"	32	6	4	2	116	90	88	30	24	14	0	52	2	362	24	68	24	10	6	46	116	2	8	26	50	34	126	0	22	72
"RAMA"	14	4	722	0	52	22	14	2	4	0	0	4	0	26	2	18	10	4	4	12	38	0	0	16	2	2	20	6	0	6
"RAMR|RequiresSNPConfirmation"	32	16	4921	4	149	137	79	11	28	8	0	70	2	140	38	129	20	26	8	10	50	1	2	42	36	14	118	10	18	74
"RBPA"	22	10	4	4	140	83	16	6	20	1	2	110	0	314	2	50	18	34	0	10	46	0	4	18	50	4	57	2	4	133
"RCNA"	38	4	3426	4	140	63	71	26	12	4	0	74	0	66	36	91	32	8	12	17	62	0	0	27	34	24	104	14	10	22
"RCNB"	5	0	1608	0	16	10	13	6	3	0	0	26	0	42	0	61	2	6	0	6	16	0	3	20	2	6	13	0	2	16
"RCNR"	4	2	1257	0	16	15	22	2	0	1	0	18	2	20	2	34	0	4	0	1	12	2	0	6	21	0	41	0	0	6
"RCP"	60	2	410	4	146	238	80	18	38	2	6	144	20	562	18	66	40	36	14	34	122	2	2	44	44	44	102	10	24	274
"RECG"	4	10	637	10	93	87	64	12	14	2	4	39	0	246	24	109	4	27	2	18	82	0	0	32	32	16	72	10	8	57
"RECGM"	159	153	23886	35	1001	1868	502	111	172	44	26	898	78	4039	207	351	172	175	28	285	606	12	34	185	263	121	2064	66	142	949
"RGT"	62	28	1170	14	172	284	114	20	28	10	0	168	2	807	60	82	24	44	8	66	124	2	6	58	24	10	106	28	38	312
"RIBD|RequiresSNPConfirmation"	24	18	264	0	118	162	62	8	20	8	0	76	8	208	30	22	26	24	8	34	94	0	0	36	14	12	104	10	2	80
"RICR"	20	4	356	3	39	86	58	6	8	0	0	57	2	182	8	20	18	32	2	12	54	0	2	24	8	12	51	0	8	274
"RLMA"	4	2	6	0	22	34	36	2	6	0	0	6	2	16	10	22	6	0	6	0	16	0	0	12	4	9	12	0	2	2
"RLMH"	6	4	1461	0	22	6	32	2	0	0	2	4	0	21	8	6	2	4	2	0	10	0	2	0	0	8	6	8	0	4
"RM3"	28	38	776	4	154	292	96	12	12	2	0	76	2	222	20	94	36	58	18	38	100	0	2	52	30	6	92	6	16	122
"RMTA"	8	12	314	2	30	22	4	4	2	0	0	10	0	12	0	14	2	4	2	6	10	4	2	8	8	6	30	0	4	16
"RMTB"	46	14	4	0	80	130	148	24	26	6	0	88	2	64	28	80	20	30	8	30	96	4	6	42	58	26	104	4	12	40
"RMTC"	8	0	0	2	42	12	30	4	4	0	0	14	0	14	0	6	2	0	0	0	34	0	0	6	8	0	24	0	2	0
"RMTD"	54	16	0	2	220	88	140	8	38	2	0	116	0	64	36	132	48	78	29	36	124	0	10	59	45	30	150	12	24	84
"RMTE"	22	0	2	0	34	8	26	0	0	0	0	8	0	18	14	14	2	0	4	2	16	0	4	0	20	0	10	0	2	2
"RMTF"	38	41	272	12	309	237	182	22	48	21	0	170	0	277	34	86	63	56	16	79	204	0	6	49	75	43	237	13	18	176
"RMTG"	46	20	550	10	233	92	72	39	42	4	0	50	0	32	26	106	55	42	28	133	117	2	8	26	64	12	159	10	30	30
"RMTH"	28	60	56	0	102	58	52	52	20	6	0	86	0	212	30	420	16	44	4	60	72	2	12	32	20	28	56	6	14	108
"ROB"	4	0	0	0	20	10	14	0	0	0	0	4	0	14	10	4	18	0	4	2	6	0	0	2	8	8	18	0	0	4
"ROBA"	8	6	4108	0	27	20	83	11	5	0	0	42	4	16	18	79	22	18	6	16	39	0	1	52	30	16	175	0	12	10
"ROSA"	4	0	720	4	55	14	46	2	12	2	0	7	0	14	18	63	26	0	3	6	24	0	2	7	14	4	34	6	0	4
"ROSB"	22	10	234	0	66	12	44	0	2	6	0	14	2	14	28	66	20	8	4	18	68	0	8	12	22	8	106	8	2	10
"ROX"	72	72	592	6	397	936	206	38	52	10	18	546	59	2150	62	130	58	86	17	126	178	2	2	84	112	52	762	52	38	1196
"RPH"	278	154	1374	70	918	1527	666	130	168	24	4	814	58	6059	390	588	176	234	58	216	514	14	20	252	212	128	656	62	90	1727
"RPOB|RequiresSNPConfirmation"	23253	8769	103917	2198	62355	85207	55068	7687	9407	1862	211	35877	2142	157245	30957	49022	17969	14412	5266	14757	39333	1391	2598	16971	21418	9437	72756	4279	6598	50368
"RPOBL|RequiresSNPConfirmation"	182	42	1049	17	193	632	526	41	42	3	0	156	13	1764	297	354	110	36	20	52	148	11	12	36	149	55	157	8	22	94
"RPOC|RequiresSNPConfirmation"	3637	351	1007	146	3457	8374	5009	433	506	132	5	975	18	3153	2763	4983	3330	662	343	778	2370	99	225	909	1555	568	3072	190	253	650
"RPOCL|RequiresSNPConfirmation"	1989	338	20969	131	2875	6977	5473	301	299	85	11	1558	115	14708	3155	4223	1095	383	200	553	1657	55	142	498	1183	690	1964	166	205	989
"RPOS"	31	16	8736	8	127	211	78	16	8	8	9	134	0	194	65	194	50	29	6	30	74	4	2	53	42	42	148	6	11	119
"RPSA|RequiresSNPConfirmation"	291	597	342	82	1435	8821	992	83	299	40	2	4621	404	32068	518	483	312	897	91	493	602	70	35	520	326	206	1786	201	164	11000
"RPSJ|RequiresSNPConfirmation"	6	2	272	0	32	44	14	8	0	0	0	30	16	188	6	42	0	2	2	2	8	0	0	8	12	6	50	2	2	66
"RPSL|RequiresSNPConfirmation"	110	119	677	12	535	1511	314	86	132	5	6	639	24	4159	173	258	158	167	55	196	332	12	19	135	193	68	1175	44	82	1215
"RRSA|RequiresSNPConfirmation"	7213	2592	12315	726	23216	23712	15676	2284	2699	575	29	8546	484	47095	8116	14601	6576	4402	1702	4223	11782	405	844	5003	6353	3396	22181	1345	1974	13877
"RRSC|RequiresSNPConfirmation"	3472	1248	25486	442	13566	8139	9365	1492	1691	317	29	3868	108	8302	6241	9747	2720	2115	980	2319	6777	231	520	2970	3824	1960	9655	742	1168	1982
"RRSH|RequiresSNPConfirmation"	3366	1423	22712	419	13953	8323	9606	1442	1683	336	21	3961	97	8150	6271	10120	2753	2091	1014	2481	6789	219	514	2998	3884	2058	10197	700	1108	2107
"RSA"	28	4	300	12	150	182	102	6	20	4	0	132	6	280	94	78	28	48	20	42	80	4	2	60	42	10	124	2	14	106
"RTG"	2	0	0	0	0	7	10	0	0	0	0	2	0	0	0	0	0	0	2	4	4	0	0	0	0	0	2	0	0	0
"RUB"	26	4	0	0	56	90	64	8	24	0	0	26	2	142	18	58	30	14	2	20	26	0	0	12	22	12	50	0	10	28
"RUVB"	211	98	7444	21	866	954	577	125	110	23	10	500	3	1512	214	601	167	191	77	200	564	8	18	256	241	127	656	61	79	395
"RUVBM"	156	100	3743	13	582	842	295	48	96	24	0	556	44	1890	128	233	101	231	72	249	442	8	14	118	145	93	432	30	76	1044
"SALA"	26	0	38	2	82	66	50	6	10	2	0	38	0	48	20	44	48	6	6	8	52	0	2	8	4	2	52	2	6	12
